"digits"	"sym"	"int"
6	0.3410918	-4.5289375
5	0.44413086	-5.4968125
4	0.23100195	-2.88675
7	0.20027539	-3.534375
3	0.29193555	-4.3520625
6	0.21278516	-3.721375
3	0.20337891	-3.3363125
1	0.12304297	-0.707875
0	0.28954102	-4.644125
1	0.11385937	-0.931375
7	0.25326172	-5.5329375
0	0.33150781	-1.9401875
1	0.11537109	-0.386
1	0.10228125	-0.3788125
7	0.15481055	-3.29475
7	0.18846094	-3.202
4	0.20914258	-3.79575
8	0.44066992	-4.3504375
0	0.41480664	-3.7495625
1	0.14204297	-1.8194375
4	0.20682227	-2.31725
8	0.27822461	-4.0888125
7	0.19740234	-4.139
4	0.21369531	-4.2045625
8	0.28741406	-4.3654375
7	0.15986133	-3.2423125
3	0.28341602	-4.0206875
7	0.19057617	-3.876
4	0.21297852	-4.493375
1	0.14896484	-0.9749375
3	0.29260352	-4.7495
6	0.20930078	-3.767125
7	0.17407813	-3.443375
4	0.12761914	-3.1504375
1	0.12889648	-0.521625
3	0.14435352	-2.1880625
7	0.16850195	-3.7725625
7	0.21072461	-4.0576875
4	0.35700391	-5.1086875
5	0.21798242	-3.359625
4	0.32469141	-4.671125
2	0.30232617	-5.9131875
7	0.23701172	-4.2888125
4	0.27167383	-5.0855
1	0.1438125	-0.2509375
3	0.24815234	-3.5175
7	0.25998047	-4.9770625
7	0.16880273	-3.3520625
4	0.22463867	-4.466625
0	0.27998633	-3.1631875
6	0.2253418	-3.977875
3	0.25181055	-3.654375
2	0.16425195	-2.8780625
0	0.17680469	-0.7626875
8	0.18921094	-3.328375
6	0.14176563	-2.326
6	0.16395313	-2.691875
2	0.23323633	-4.245875
0	0.41479102	-3.7660625
8	0.34156641	-4.8388125
7	0.22111914	-4.2523125
8	0.28816211	-3.75325
2	0.26739844	-3.47025
0	0.34409766	-1.65875
9	0.17676562	-2.18075
0	0.29141602	-3.130625
2	0.23461914	-3.3475
2	0.28325195	-4.861125
0	0.57900781	-2.849625
8	0.42295508	-4.58325
1	0.18283984	-1.0160625
2	0.33435352	-3.808875
0	0.39012109	-2.077125
8	0.35011133	-4.5961875
3	0.30577539	-4.2723125
3	0.26988281	-3.781125
2	0.19907422	-3.6469375
8	0.30645703	-2.082
2	0.11708789	-2.7410625
2	0.2636875	-4.38825
0	0.42306055	-3.1710625
8	0.33792773	-3.1846875
1	0.14866406	-0.3103125
4	0.20427539	-3.7735625
4	0.32394141	-4.4250625
8	0.41233789	-5.5705
9	0.26885156	-3.674875
8	0.35138672	-4.4420625
9	0.37638086	-6.194875
6	0.30213477	-3.89275
7	0.25282812	-4.810375
6	0.33438867	-4.930875
1	0.13639648	-0.3523125
9	0.26610156	-3.7638125
7	0.20053906	-3.7035
0	0.42260938	-4.761125
8	0.24904883	-4.0290625
0	0.31656641	-2.7206875
4	0.25138281	-4.99325
6	0.20269141	-3.6675625
8	0.26214258	-4.100125
0	0.31361914	-3.78425
0	0.30116602	-3.454875
3	0.33696094	-4.6469375
0	0.29473242	-3.053
8	0.27826172	-4.4676875
0	0.42530273	-3.6656875
9	0.1857832	-3.4355625
